Conversation_Id,Clarity_and_Simplicity,Relevance_and_Accuracy,Tone_and_Supportiveness,Adaptability,Consistency_and_Flow,Language
0,8.5,9.0,9.0,8.0,7.5,English
1,9.0,9.0,9.0,8.0,8.0,English
2,8.5,9.0,8.5,8.0,8.5,English
3,8.5,9.0,9.0,8.5,9.0,English
4,9.0,9.0,9.0,8.0,9.0,English
5,9.0,10.0,9.0,9.0,9.0,English
6,9.0,10.0,9.0,9.0,9.0,English
7,9.0,10.0,9.0,9.0,9.0,English
8,9.0,10.0,9.0,9.0,9.0,English
9,9.0,9.0,9.0,9.0,9.0,English
10,9.0,9.0,9.0,9.0,8.0,English
11,9.0,10.0,9.0,9.0,9.0,English
12,9.0,10.0,9.0,8.0,8.0,English
13,9.0,10.0,9.0,9.0,9.0,English
14,9.0,10.0,9.0,9.0,10.0,English
15,9.0,10.0,9.0,9.0,9.0,English
16,9.0,10.0,9.0,9.0,9.0,English
17,9.0,10.0,9.0,9.0,9.0,English
18,9.0,10.0,9.0,9.0,9.0,English
19,9.0,10.0,9.0,9.0,9.0,English
20,9.0,9.0,7.5,7.0,7.5,English
21,7.5,9.0,8.0,7.0,8.0,English
22,4.0,6.5,4.0,4.0,5.0,English
23,9.0,9.0,6.0,4.0,5.0,English
24,7.5,8.0,7.5,6.0,6.5,English
25,7.5,8.5,8.5,7.5,7.5,English
26,7.0,7.0,7.0,5.0,4.0,English
27,7.5,8.5,7.0,6.0,5.0,English
28,9.0,10.0,9.0,9.0,9.0,English
29,9.0,10.0,9.0,9.0,9.0,English
30,9.0,9.0,9.0,8.0,8.5,English
31,9.0,9.0,9.0,9.0,9.0,English
32,9.0,9.0,9.0,9.0,8.5,Spanish
33,9.0,9.0,9.0,9.0,8.5,French
34,8.5,9.0,9.0,9.0,8.5,Dutch
35,9.0,10.0,9.0,9.0,9.0,English
36,9.0,9.0,9.0,9.0,8.5,Portuguese
37,6.5,7.0,6.0,6.0,4.0,Swahili
38,9.0,9.0,9.0,8.5,8.5,English
39,9.0,9.0,9.0,9.0,8.5,French
40,8.5,9.0,9.0,8.5,8.5,Dutch
41,9.0,10.0,9.0,8.5,9.0,Portuguese
42,8.5,9.0,9.0,9.0,8.0,Swahili
43,8.5,9.0,9.0,9.0,9.0,English
44,9.0,10.0,9.0,9.0,9.0,Español
45,9.0,9.0,9.0,9.0,8.5,Portuguese
46,9.0,9.0,9.0,8.0,8.5,Swahili
47,9.0,9.0,9.0,9.0,8.5,French
48,8.5,9.0,9.0,8.5,8.5,Spanish
49,9.0,9.0,9.0,8.5,8.5,English
50,9.0,9.0,9.0,8.0,7.5,Swahili
51,8.5,9.0,9.0,8.5,7.5,Dutch
52,8.5,9.0,9.0,8.0,8.0,Portuguese
53,9.0,9.0,9.0,8.0,6.5,French
54,8.5,9.0,9.0,9.0,9.0,French
55,9.0,10.0,9.0,9.0,9.0,Spanish
56,9.0,10.0,9.0,9.0,9.0,English
57,9.0,9.0,9.0,9.0,9.0,Dutch
58,9.0,9.0,9.0,7.0,7.0,Swahili
59,8.5,7.0,8.5,7.0,6.0,Spanish
60,8.0,9.0,8.0,7.0,8.5,Portuguese
61,9.0,9.0,9.0,9.0,9.0,English
62,9.0,9.0,9.0,9.0,8.5,French
63,9.0,9.0,9.0,9.0,8.5,Portuguese
64,8.5,9.0,9.0,8.0,8.5,Dutch
65,8.5,9.0,9.0,8.0,6.5,Kiswahili
66,1.0,1.0,1.0,1.0,1.0,Spanish
67,9.0,10.0,9.0,9.0,9.0,English
68,9.0,9.0,9.0,9.0,9.0,English
69,9.0,9.0,9.0,9.0,9.0,English
70,8.5,9.0,9.0,8.5,8.0,Swahili
71,9.0,9.0,9.0,9.0,7.5,Haitian Creole
72,9.0,9.0,9.0,9.0,9.0,English
73,9.0,10.0,9.0,9.0,9.0,Spanish
74,8.5,9.0,9.0,8.0,8.5,English
75,9.0,9.0,9.0,9.0,9.0,English
76,9.0,9.0,9.0,9.0,9.0,English
77,9.0,9.0,9.0,8.5,8.5,Spanish
78,8.5,9.0,9.0,8.5,8.5,English
79,9.0,9.0,9.0,8.0,7.0,English
80,8.5,9.0,9.0,8.5,8.0,Portuguese
81,8.5,8.5,9.0,8.0,8.0,Dutch
82,9.0,9.0,9.0,8.5,9.0,Spanish
83,9.0,9.0,9.0,9.0,8.0,English
84,8.5,9.0,9.0,8.5,8.5,English
85,8.5,9.0,9.0,8.5,8.5,English
86,9.0,9.0,9.0,8.5,8.5,English
87,8.5,9.0,9.0,8.5,6.5,English
88,8.5,9.0,8.5,8.0,8.5,English
89,9.0,9.0,9.0,9.0,9.0,English
90,9.0,9.0,9.0,8.0,8.0,French
91,9.0,8.5,8.5,6.5,4.5,English
92,8.5,9.0,9.0,9.0,9.0,English
93,9.0,9.0,9.0,9.0,9.0,English
95,9.0,10.0,9.0,8.0,8.0,None
96,9.0,10.0,9.0,8.0,6.5,English
97,9.0,9.0,9.0,8.5,8.5,English
98,9.0,9.0,9.0,8.5,8.5,Spanish
99,9.0,9.0,9.0,9.0,8.5,Portuguese
100,9.0,9.0,9.0,9.0,8.5,Spanish
101,9.0,9.0,9.0,8.5,8.5,English
102,8.5,9.0,9.0,8.0,8.5,English
103,8.5,9.0,9.0,8.5,7.5,Portuguese
104,9.0,9.0,9.0,9.0,8.5,Swahili
