Convsation_Id,User_Rating,Observer_Rating,Self_Rating
0,9.0,8.5,8.5
1,9.0,8.5,8.5
2,9.0,8.5,8.5
3,9.0,9.0,8.5
4,9.0,9.0,9.0
5,9.0,8.5,9.0
6,9.0,9.0,9.0
7,10.0,9.0,9.0
8,9.0,9.0,9.0
9,9.0,9.0,9.0
10,9.0,9.0,9.0
11,9.0,9.0,9.0
12,9.0,8.5,8.5
13,9.0,9.0,9.0
14,10.0,9.0,9.0
15,10.0,9.0,9.0
16,10.0,9.0,9.0
17,9.0,9.0,9.0
18,10.0,9.0,9.0
19,10.0,9.0,9.0
20,9.0,8.5,8.5
21,6.5,8.5,7.5
22,4.0,6.5,6.5
23,6.5,6.5,6.0
24,4.5,8.5,8.5
25,6.5,7.5,7.5
26,4.0,6.5,5.0
27,5.0,6.5,6.5
28,10.0,9.0,9.0
29,9.0,9.0,9.0
30,9.0,8.5,9.0
31,9.0,9.0,9.0
32,9.0,9.0,9.0
33,9.0,8.5,9.0
34,9.0,9.0,9.0
35,9.0,9.0,9.0
36,9.0,9.0,9.0
37,6.5,5.0,6.5
38,9.0,8.5,8.5
39,9.0,8.5,9.0
40,9.0,8.5,8.5
41,9.0,9.0,9.0
42,9.0,8.5,9.0
43,9.0,9.0,9.0
44,9.0,9.0,9.0
45,9.0,9.0,9.0
46,9.0,9.0,9.0
47,9.0,8.5,9.0
48,9.0,8.5,8.5
49,9.0,8.5,9.0
50,9.0,8.5,8.5
51,9.0,8.5,8.5
52,9.0,8.5,9.0
53,9.0,8.5,8.5
54,9.0,9.0,9.0
55,10.0,9.0,9.0
56,10.0,9.0,9.0
57,9.0,8.5,9.0
58,8.5,8.5,8.5
59,8.5,7.5,7.5
60,9.0,8.5,9.0
61,9.0,9.0,9.0
62,9.0,9.0,9.0
63,9.0,9.0,9.0
64,9.0,8.5,9.0
65,9.0,7.5,8.5
66,1.0,1.0,1.0
67,9.0,9.0,9.0
68,9.0,9.0,9.0
69,10.0,9.0,9.0
70,9.0,8.5,8.5
71,9.0,8.5,8.5
72,9.0,9.0,9.0
73,10.0,9.5,9.0
74,9.0,8.5,8.5
75,9.0,9.0,9.0
76,9.0,8.5,8.5
77,1.0,1.0,1.0
78,9.0,8.5,9.0
79,9.0,8.5,8.5
80,9.0,8.5,8.5
81,9.0,8.5,8.5
82,9.0,8.5,9.0
83,9.0,8.5,8.5
84,9.0,8.5,8.5
85,9.0,8.5,8.5
86,9.0,8.5,8.5
87,9.0,8.5,8.5
88,9.0,8.5,8.5
89,9.0,8.5,8.5
90,9.0,9.0,9.0
91,8.5,6.5,6.5
92,9.0,8.5,9.0
93,9.0,8.5,9.0
95,9.0,8.5,9.0
96,9.0,8.5,8.5
97,9.0,8.5,9.0
98,9.0,8.5,8.5
99,9.0,8.5,9.0
100,9.0,9.0,9.0
101,9.0,8.5,8.5
102,9.0,8.5,9.0
103,9.0,8.5,8.5
104,9.0,9.0,9.0
105,9.0,8.5,9.0
106,9.0,9.0,9.0
107,9.0,8.5,8.5
108,9.0,8.5,9.0
109,9.0,9.0,9.0
110,9.0,9.0,9.0
111,9.0,8.5,8.5
112,10.0,8.5,9.0
113,9.0,9.0,9.0
114,9.0,9.0,9.0
115,3.0,4.0,6.5
116,9.0,9.0,9.0
117,9.0,9.0,9.0
118,9.0,8.5,9.0
119,9.0,8.5,9.0
120,10.0,9.0,9.0
121,9.0,8.5,9.0
122,9.0,9.0,9.0
123,9.0,9.0,9.0
124,9.0,9.0,9.0
125,9.0,9.0,9.0
126,9.0,8.5,9.0
127,9.0,9.0,9.0
128,9.0,9.0,9.0
129,9.0,9.0,9.0
130,10.0,9.0,9.0
131,9.0,9.0,9.0
132,9.0,8.5,9.0
133,8.5,7.5,7.5
134,9.0,8.5,9.0
135,10.0,9.0,9.0
136,9.0,8.5,9.0
137,10.0,9.0,9.0
138,9.0,9.0,9.0
139,9.0,9.0,9.0
140,9.0,9.0,9.0
201,9.0,8.5,8.5
202,9.0,9.0,9.0
203,9.0,8.5,9.0
204,9.0,9.0,9.0
