Convsation_Id,User_Rating,Observer_Rating,Self_Rating,Language
0,9.0,8.5,8.5,English
1,9.0,8.5,8.5,English
2,9.0,8.5,8.5,English
3,9.0,8.5,8.5,English
4,9.0,9.0,9.0,English
5,9.0,8.5,9.0,English
6,9.0,9.0,9.0,English
7,10.0,9.0,9.0,English
8,9.0,9.0,9.0,English
9,9.0,9.0,9.0,English
10,9.0,9.0,9.0,English
11,9.0,9.0,9.0,English
12,9.0,8.5,8.5,English
13,9.0,9.0,9.0,English
14,9.0,9.0,9.0,English
15,10.0,9.0,9.0,English
16,10.0,9.0,9.0,English
17,9.0,9.0,9.0,English
18,10.0,9.0,9.0,English
19,10.0,9.0,9.0,English
20,9.0,8.5,8.5,English
21,6.5,8.5,8.5,English
22,4.0,6.5,6.5,English
23,5.0,5.0,6.0,English
24,5.0,7.5,8.5,English
25,6.5,7.5,7.5,English
26,3.0,5.0,5.0,English
27,5.0,6.5,6.5,English
28,9.0,9.0,9.0,English
29,9.0,9.0,9.0,English
30,9.0,8.5,9.0,English
31,9.0,9.0,9.0,English
32,9.0,8.5,9.0,Spanish
33,9.0,8.5,9.0,French
34,9.0,8.5,9.0,Dutch
35,9.0,9.0,9.0,English
36,9.0,9.0,9.0,Portuguese
37,6.5,5.0,6.5,Swahili
38,9.0,8.5,8.5,English
39,9.0,8.5,9.0,French
40,9.0,8.5,8.5,Dutch
41,9.0,9.0,9.0,Portuguese
42,9.0,8.5,9.0,Swahili
43,9.0,9.0,9.0,English
44,9.0,9.0,9.0,Spanish
45,9.0,8.5,9.0,Portuguese
46,9.0,8.5,9.0,Swahili
47,9.0,9.0,9.0,French
48,9.0,8.5,8.5,Spanish
49,9.0,8.5,9.0,English
50,9.0,8.5,8.5,Swahili
51,9.0,8.5,8.5,Dutch
52,9.0,9.0,9.0,Portuguese
53,9.0,8.5,8.5,French
54,9.0,9.0,9.0,French
55,10.0,9.0,9.0,Spanish
56,9.0,9.0,9.0,English
57,9.0,8.5,9.0,Dutch
58,9.0,8.5,8.5,Swahili
59,8.5,7.5,7.5,Spanish
60,9.0,8.5,8.5,Portuguese
61,9.0,9.0,9.0,English
62,9.0,9.0,9.0,French
63,9.0,9.0,9.0,Portuguese
64,9.0,8.5,9.0,Dutch
65,9.0,7.5,8.5,Swahili
66,1.0,1.0,1.0,Spanish
67,9.0,9.0,9.0,English
68,9.0,9.0,9.0,English
69,9.0,9.0,9.0,English
70,9.0,8.5,8.5,Swahili
71,9.0,8.5,8.5,Haitian Creole
72,9.0,9.0,9.0,English
73,10.0,9.0,9.0,Spanish
74,9.0,8.5,8.5,English
75,9.0,9.0,9.0,English
76,9.0,8.5,8.5,English
77,9.0,8.5,9.0,Spanish
78,9.0,8.5,9.0,English
79,9.0,8.5,8.5,English
80,9.0,8.5,9.0,Portuguese
81,9.0,8.5,8.5,Dutch
82,9.0,8.5,9.0,Spanish
83,9.0,8.5,8.5,English
84,9.0,8.5,9.0,English
85,9.0,8.5,8.5,English
86,9.0,8.5,9.0,English
87,9.0,8.5,8.5,English
88,9.0,8.5,8.5,English
89,9.0,8.5,8.5,English
90,9.0,9.0,9.0,French
91,8.5,6.5,7.5,English
92,9.0,8.5,9.0,English
93,9.0,9.0,9.0,English
95,9.0,8.5,9.0,nan
96,9.0,8.5,8.5,English
97,9.0,8.5,9.0,English
98,9.0,8.5,8.5,Spanish
99,9.0,8.5,8.5,Portuguese
100,9.0,8.5,9.0,Spanish
101,9.0,8.5,8.5,English
102,9.0,8.5,9.0,English
103,9.0,8.5,8.5,Portuguese
104,9.0,8.5,8.5,Swahili
105,9.0,8.5,9.0,English
106,9.0,9.0,9.0,French
107,9.0,8.5,8.5,Portuguese
108,9.0,8.5,9.0,Portuguese
109,9.0,8.5,9.0,Portuguese
110,9.0,9.0,9.0,Swahili
111,9.0,8.5,8.5,English
112,10.0,8.5,9.0,French
113,9.0,9.0,9.0,English
