Conversation_Id,Clarity_and_Simplicity,Relevance_and_Accuracy,Tone_and_Supportiveness,Adaptability,Consistency_and_Flow
0,7.5,8.5,8.5,7.5,8.5
1,8.0,8.2,8.5,8.5,7.3
2,7.5,8.5,8.5,8.5,8.5
3,7.5,8.2,7.5,8.4,7.5
4,8.5,8.5,8.5,8.3,8.5
5,8.5,8.5,8.5,8.5,8.5
6,8.5,8.5,8.5,8.5,7.5
7,8.5,8.5,9.5,8.5,8.5
8,8.2,8.5,8.5,8.5,8.5
9,8.5,8.9,8.2,8.2,8.2
10,7.9,8.5,8.5,8.5,8.5
11,8.5,8.5,8.5,7.6,8.5
12,8.6,8.5,8.3,8.5,7.5
13,8.5,9.5,8.5,8.3,7.5
14,8.5,8.5,9.5,8.5,8.5
15,8.5,8.5,8.5,8.5,8.5
16,7.4,8.5,8.3,8.5,8.5
17,8.5,8.0,8.3,8.5,8.5
18,8.5,9.8,8.5,8.3,9.2
19,8.5,8.9,8.5,8.2,8.0
20,8.5,8.3,8.3,9.2,8.5
21,6.5,8.5,8.5,7.2,7.5
22,6.2,7.2,8.5,8.0,8.5
23,7.5,8.5,8.5,8.5,8.0
24,6.,8.5,8.3,7.5,8.5
25,8.5,7.2,7.5,6.5,7.5
26,7.5,8.5,8.5,8.5,8.5
27,7.5,7.5,8.5,8.5,8.5
28,8.5,8.5,8.5,7.5,8.5
29,8.5,8.2,9.5,8.2,8.5
30,7.5,8.5,8.5,8.5,8.5
31,8.5,8.5,8.5,8.5,8.9
32,8.5,8.5,8.5,8.5,8.5
33,8.2,7.5,8.5,8.5,8.5
34,8.5,8.5,8.5,8.5,8.5
35,8.5,8.5,8.5,9.5,8.5
36,8.5,8.5,8.5,8.3,8.2
37,8.5,8.0,7.5,8.5,8.5
38,7.5,8.5,8.5,8.5,7.5
39,8.5,8.5,8.5,8.5,7.3
40,8.5,7.,8.5,8.5,7.5
41,7.5,8.5,8.3,7.5,7.3
42,7.5,8.5,8.5,8.2,8.9
43,8.2,8.5,8.5,8.5,8.5
44,8.5,8.5,8.5,8.5,8.5
45,7.5,8.9,8.5,8.5,8.9
46,8.5,8.5,8.5,8.5,8.2
47,8.5,8.5,8.5,8.4,8.2
48,7.5,8.5,8.5,8.2,8.5
49,8.5,8.5,7.5,8.5,8.5
50,8.2,8.2,8.5,7.9,8.2
