Convsation_Id,User_Rating,Observer_Rating,Self_Rating
0,8.0,8.,7.5
1,8.5,8.,8.0
2,8.5,8.0,8.
3,8.5,8.5,7.5
4,8.5,8.5,8.5
5,8.,8.5,8.5
6,8.0,8.5,8.5
7,9.,8.5,8.5
8,8.0,8.5,8.
9,9.5,8.5,8.5
10,9.0,8.5,8.
11,8.5,7.5,8.5
12,9.0,8.5,8.2
13,8.,8.5,8.5
14,9.5,8.5,8.5
15,8.5,7.8,8.5
16,8.5,8.4,8.3
17,9.0,8.4,8.5
18,8.5,8.5,8.0
19,8.0,8.5,8.5
20,8.5,8.6,8.2
21,9.5,8.2,7.5
22,8.0,7.6,7.6
23,8.5,8.0,8.0
24,7.5,8.5,8.5
25,8.0,8.5,8.
26,8.0,8.5,8.
27,8.0,8.6,8.5
28,9.5,8.2,8.5
29,8.,8.5,8.0
30,8.5,8.0,8.5
31,9.5,8.5,8.
32,8.5,8.2,8.
33,9.5,7.5,8.5
34,8.5,8.2,7.5
35,9.5,8.3,8.5
36,8.5,8.5,7.5
37,8.5,8.5,8.5
38,8.5,8.0,8.3
39,9.5,8.5,8.
40,8.,8.5,8.
41,9.0,8.0,8.3
42,9.5,8.2,8.5
43,8.5,8.5,8.5
44,8.5,8.4,8.5
45,8.5,8.5,8.5
46,8.5,8.5,8.5
47,8.5,8.,8.5
48,8.0,8.9,8.5
49,8.5,8.5,8.
50,8.0,8.0,8.3
51,9.5,8.5,8.
52,8.5,8.5,8.5
53,8.,8.2,8.
54,8.5,8.5,8.
55,9.5,8.5,8.5
56,8.5,8.5,8.5
57,8.5,7.5,8.2
58,8.5,8.5,8.5
59,8.0,8.5,8.5
60,8.5,8.5,8.
61,8.0,8.,8.2
62,9.0,8.2,8.5
63,8.5,8.5,7.9
64,8.5,8.5,8.2
65,8.5,8.2,7.5
66,8.0,3.0,5.0
67,8.5,8.0,8.2
68,8.5,8.5,8.5
69,8.,8.5,8.5
70,8.5,8.5,8.5
71,8.5,8.5,8.0
72,8.5,8.,7.0
73,9.5,8.5,8.5
74,8.0,8.,8.
75,8.5,8.5,8.5
76,8.5,8.5,8.5
77,8.5,8.0,8.5
78,8.5,8.0,8.0
79,8.5,8.0,8.0
80,8.5,8.5,8.5
81,8.5,8.,7.5
82,8.5,8.2,8.5
83,8.5,8.0,8.5
84,8.5,8.5,8.5
85,8.5,8.5,8.5
86,8.0,8.0,8.
87,8.5,8.2,8.5
88,8.5,8.5,7.5
89,9.0,8.2,8.4
90,8.5,8.5,8.5
91,8.0,8.0,8.
92,8.5,8.5,8.0
93,9.5,8.5,8.5
95,8.5,8.,8.2
96,8.5,8.5,8.5
97,8.,8.5,8.5
98,8.5,8.5,7.3
99,8.5,8.0,8.2
100,8.5,8.5,8.5
101,8.5,8.2,8.
102,8.0,8.5,8.5
103,9.5,8.4,8.
104,8.0,8.5,8.0
105,9.5,8.5,7.5
106,8.,8.5,8.5
107,8.5,8.0,8.2
108,8.5,8.5,8.5
109,8.5,7.2,8.5
110,9.5,7.5,8.2
111,8.5,8.,7.5
112,8.,8.2,8.0
113,9.5,8.3,7.5
114,8.0,8.,8.3
115,8.5,8.2,8.5
116,8.5,8.,8.5
117,8.0,8.,8.5
118,8.0,8.2,8.5
119,8.5,8.5,8.5
120,8.5,8.5,8.5
121,8.5,8.5,8.5
122,8.5,8.5,8.
123,9.5,8.3,8.0
124,9.5,8.5,8.
125,8.5,8.0,7.5
126,8.5,8.2,8.5
127,8.5,8.5,8.
128,8.5,8.2,8.0
129,8.5,8.5,8.0
130,8.0,8.5,8.5
131,8.5,8.0,8.
132,8.,8.5,8.5
133,8.0,8.0,8.0
134,9.0,8.5,7.5
135,8.0,8.5,8.5
136,9.5,8.5,7.3
137,8.,8.5,7.0
138,8.0,8.,8.5
139,8.0,8.5,8.5
140,9.5,8.5,8.5
141,8.5,8.5,8.0
142,8.5,8.5,8.5
143,8.,8.0,8.0
144,8.5,8.5,7.9
145,8.5,6.5,8.5
146,9.5,8.0,8.0
147,8.5,8.5,8.5
148,8.5,8.5,7.
149,8.0,8.2,7.5
150,8.,7.2,8.5
151,9.0,8.6,8.0
152,8.5,7.5,8.0
153,8.5,7.2,8.2
154,9.5,8.2,8.5
155,9.0,8.5,8.2
156,8.0,8.0,8.5
157,9.5,8.5,8.5
158,8.0,8.5,8.0
159,8.5,7.5,8.2
160,8.0,8.5,7.5
161,8.5,8.7,8.
162,8.5,8.0,8.5
163,9.0,8.5,8.0
164,9.0,8.5,8.0
165,9.5,7.5,7.5
166,8.5,8.0,8.5
167,8.5,8.5,8.5
168,9.0,8.2,8.
169,8.5,8.5,8.5
170,9.5,8.5,8.2
171,8.,8.0,8.5
172,8.5,8.5,8.0
173,8.5,8.5,8.5
174,8.5,8.2,8.5
175,9.0,8.6,8.5
176,8.5,8.0,8.5
177,8.5,8.5,8.2
178,8.5,8.0,8.2
179,8.5,8.5,8.3
180,8.5,8.5,8.0
181,8.5,8.5,8.2
182,9.0,8.0,8.3
183,9.0,8.5,8.5
184,9.5,8.5,8.5
185,9.0,8.5,8.4
186,8.5,8.5,8.
187,8.5,8.5,8.5
188,8.5,8.0,7.5
189,9.0,8.4,8.5
190,9.5,7.5,7.8
191,8.5,8.5,8.
192,8.5,7.5,8.2
193,8.5,8.5,8.5
194,8.0,7.3,8.5
195,8.5,8.5,8.2
196,8.0,8.,8.5
197,9.5,8.0,8.5
198,8.0,8.5,8.5
199,8.5,8.0,8.
200,8.0,8.5,8.0
201,8.5,7.9,8.5
202,8.0,8.5,8.5
203,8.5,8.5,8.
204,8.0,8.0,8.5
205,8.,8.5,8.5
206,8.5,8.5,8.0
207,9.0,8.0,8.5
208,8.,8.,8.5
209,8.5,8.2,8.5
210,8.0,8.0,8.5
211,8.5,8.5,8.5
212,9.5,8.5,8.5
213,8.5,8.4,8.5
214,8.5,8.,8.
215,8.5,8.0,8.5
216,8.,8.5,8.5
217,8.5,8.5,8.5
218,9.0,8.0,8.
219,8.5,8.0,7.5
220,8.5,8.0,8.2
221,9.5,8.5,8.
222,9.0,8.5,7.5
223,8.,8.5,8.5
224,9.0,8.3,8.5
225,8.5,7.5,8.5
226,9.5,8.5,8.0
227,8.5,8.,8.
228,8.5,8.5,8.2
229,9.0,8.5,8.5
230,8.5,8.5,8.
231,8.5,8.,8.5
232,8.5,8.0,8.5
233,8.5,8.2,7.0
234,9.5,8.5,8.3
235,8.5,8.5,8.5
236,8.5,8.0,8.5
237,8.5,8.5,8.
238,8.,8.,8.
239,8.5,8.5,8.5
240,8.5,8.0,8.0
241,8.5,8.5,8.5
242,8.5,8.5,8.5
243,8.5,8.5,8.0
244,8.5,8.5,7.5
245,8.5,8.5,8.2
246,9.5,8.5,8.5
247,8.,7.5,8.5
248,9.5,8.5,8.5
249,8.,8.5,8.
250,8.5,8.5,8.3
251,8.5,8.5,8.5
252,9.5,8.2,7.6
253,9.5,8.,8.5
254,8.5,8.3,8.3
255,8.0,8.5,8.5
256,9.0,8.5,8.5
257,8.0,7.5,8.0
258,8.5,8.4,8.5
259,8.0,8.5,8.5
260,8.5,8.,8.0
261,8.5,8.3,8.5
262,8.5,8.2,8.
263,9.5,8.3,8.2
264,8.5,8.,8.5
265,8.0,8.5,8.5
266,9.5,8.5,8.5
267,8.0,7.,8.5
268,8.5,8.0,8.5
269,8.5,8.5,8.5
270,8.,8.5,7.
271,9.0,8.0,8.5
272,8.5,8.5,8.0
273,8.5,8.5,8.
274,8.0,8.2,8.5
275,9.5,7.8,8.5
276,9.5,8.3,7.5
277,8.5,8.2,7.5
278,8.5,8.5,8.5
279,8.,8.5,8.
280,8.0,8.,8.5
281,8.5,8.0,8.
282,8.5,8.3,8.5
283,8.5,8.,8.5
284,9.0,8.5,8.0
285,8.5,9.5,8.5
286,8.5,8.5,8.
287,8.5,8.5,8.0
288,8.5,8.2,7.5
289,8.5,8.5,8.5
290,8.5,7.5,8.0
291,8.5,8.5,8.2
292,8.5,8.5,8.
293,9.5,8.9,8.5
294,8.5,8.5,8.2
295,8.5,8.3,8.5
296,8.0,8.5,8.
297,9.,8.5,8.
298,8.5,8.5,8.2
299,8.5,8.5,8.5
300,8.0,8.0,8.0
301,8.5,8.5,8.2
302,8.5,8.0,8.5
303,9.5,8.,8.5
304,8.0,8.,8.2
305,8.5,8.2,8.
306,8.5,8.5,8.0
307,8.5,8.5,8.0
308,9.0,8.,8.
309,9.0,8.5,7.
310,8.5,8.,8.5
311,8.5,8.3,8.5
312,8.,8.,8.0
313,8.0,8.4,8.5
314,8.0,8.0,8.5
315,9.0,8.5,8.5
316,8.5,8.5,8.5
317,9.0,7.5,8.0
318,8.5,8.5,8.5
319,8.5,8.5,7.5
320,8.5,8.5,8.5
321,9.0,8.0,7.0
322,8.5,8.5,8.5
323,8.5,7.5,8.0
324,8.5,8.5,8.0
325,8.0,7.5,8.5
326,8.,8.2,8.
327,9.5,8.5,7.0
328,9.0,8.,8.4
329,9.0,8.0,8.4
330,8.5,8.5,8.0
331,9.5,8.5,8.4
332,8.5,8.5,8.5
333,8.5,8.5,8.5
334,8.0,7.3,8.
335,8.5,8.2,8.
336,8.0,7.5,8.5
337,8.5,8.2,8.2
338,8.5,8.5,7.5
339,9.5,8.5,8.5
340,8.5,7.3,8.5
341,8.0,8.3,8.5
342,8.0,8.0,8.5
343,9.5,8.0,8.5
344,9.0,7.5,8.5
345,8.5,8.0,8.
346,8.5,8.5,8.5
347,8.5,8.5,8.2
348,8.0,8.2,8.5
349,9.5,8.5,8.
350,8.5,8.5,8.2
351,8.5,7.2,8.5
352,9.0,8.5,8.5
353,8.0,8.,8.
354,9.0,8.5,8.5
355,8.5,8.0,8.5
356,8.5,8.5,8.
357,9.5,8.,8.5
358,9.0,8.5,8.0
359,8.5,7.5,7.5
360,8.5,8.0,8.0
361,9.5,8.5,8.0
362,9.5,7.5,8.5
363,8.5,8.2,8.5
364,8.5,8.0,8.
365,8.5,8.0,8.0
366,8.5,8.5,8.
367,8.5,8.5,8.5
368,8.5,8.5,8.5
369,8.5,8.5,8.0
