Conversation_ID,Turn_1,Turn_2,Turn_3,Turn_4,Turn_5,Turn_6,Turn_7,Turn_8,Turn_9,Turn_10,Turn_11,Turn_12,Turn_13,Turn_14,Turn_15,Turn_16,Turn_17,Turn_18,Turn_19,Turn_20,Turn_21,Turn_22,Turn_23,Turn_24,Turn_25
0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.0,9.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.0,8.5
1,8.5,8.5,9.0,7.5,8.5,8.5,9.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.0,8.5,8.5,9.0,8.5,9.0,9.0,9.0,9.0,8.5,9.0
2,6.5,8.5,7.5,8.5,8.5,8.5,9.0,8.5,8.5,8.5,7.5,6.5,7.5,7.5,6.5,8.5,8.5,7.5,7.5,7.5,6.5,7.5,6.5,6.5,7.5
3,9.0,8.5,8.5,8.5,8.5,7.5,7.5,8.5,7.5,6.5,6.5,4.5,3.5,6.5,3.5,5.5,3.5,3.5,4.5,7.5,6.5,4.5,5.0,4.5,6.5
4,9.0,8.5,8.5,9.0,9.0,8.5,8.5,8.5,8.5,9.0,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,8.5,8.5,8.5,9.0,7.5,8.5,9.0
5,8.5,9.0,9.0,8.5,9.0,8.5,8.5,8.5,9.0,9.0,8.5,9.0,8.5,8.5,8.5,8.5,9.0,7.5,8.5,7.5,9.0,9.0,7.5,7.5,8.5
6,9.0,8.5,8.5,9.0,8.5,9.0,8.5,8.5,8.5,8.5,9.0,9.0,9.0,8.5,8.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
7,9.0,8.5,9.0,8.5,9.0,8.5,8.5,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
8,9.0,9.0,8.5,8.5,9.0,9.0,7.5,9.0,8.5,8.5,8.5,8.5,9.0,8.5,9.0,9.0,9.0,8.5,9.0,8.5,8.5,8.5,7.5,8.5,8.5
9,8.5,8.5,8.5,8.5,8.5,8.5,9.0,8.5,9.0,8.5,8.5,9.0,9.0,8.5,8.5,9.0,9.0,8.5,9.0,9.0,8.5,9.0,9.0,8.5,9.0
